property_id,property_name,address,no_of_rooms,owner_id,created_at,is_active
1,Dyal PLC Individual House,"H.No. 60, Yohannan Nagar, Sangli-Miraj & Kupwad-074944",7,24,04-11-2022 16:30,1
2,Kibe-Majumdar Apartments,"H.No. 288, Dey Path, Amaravati-423496",15,77,06-03-2025 21:33,1
3,Wali-Srinivasan Condo,"79/16, Vohra Nagar, Aurangabad 593272",5,63,21-02-2025 23:11,1
4,Sarraf and Sons Villa,"051, Chacko Circle, Jhansi 467600",9,97,03-08-2024 09:27,1
5,"Kumar, Kara and Ratta Condo","72, Goel Chowk, Indore 085881",13,61,25-03-2025 13:00,1
6,Karan Ltd Residential Complex,"10/52, Basak Chowk, Nanded-416309",8,87,04-06-2024 07:13,1
7,Choudhury Group Individual House,"H.No. 019, Dugal Zila, Noida 579965",9,31,12-08-2024 11:20,1
8,Deshpande Group Villa,"230, Chawla Marg, Guntakal-881991",13,54,18-03-2024 19:13,1
9,Vala-Sani Apartments,"63/028, Majumdar Circle, Ratlam-481135",5,19,04-04-2025 08:27,1
10,"Chandran, Sama and Dhingra Villa","85/202, Saxena Road, Satara 878617",10,24,19-06-2023 13:03,1
11,"Rao, Sharma and Sathe Apartments","15, Kakar Ganj, Shivpuri 624911",6,33,05-05-2023 22:24,1
12,"Singhal, Kant and Balasubramanian Apartments","15, Shenoy, Jalandhar 603042",14,67,24-02-2025 21:55,1
13,Sangha-Thaker Individual House,"98/845, Kalla Street, Faridabad 415092",7,57,26-05-2024 18:32,1
14,"Bhalla, Cheema and Ramaswamy Condo","100, Sangha Ganj, Pondicherry 640491",10,74,18-05-2024 00:24,1
15,Kapoor-Dara Apartments,"24/56, Mangat Nagar, Aurangabad 487006",12,51,30-07-2024 01:06,1
16,Sehgal PLC Individual House,"50/31, Chowdhury Nagar, Vasai-Virar 571872",12,99,15-09-2022 13:07,1
17,Kibe and Sons Residential Complex,"H.No. 616, Sidhu Ganj, Berhampore-985495",8,94,17-08-2022 22:03,1
18,Biswas-Vyas Apartments,"H.No. 004, Varty Road, Alwar 731738",12,6,15-11-2022 09:44,1
19,Dani-Lal Villa,"27, Sama Path, Hajipur 122776",11,79,11-05-2025 17:44,1
20,"Garde, Varghese and Chandra Condo","24/58, Brahmbhatt Ganj, Dhule-438775",6,25,26-08-2024 03:47,1
